year,occupancy_date,overnight_service_type,service_user_count,capacity_type,capacity_actual_bed,occupancy_rate_beds,capacity_actual_room,occupancy_rate_rooms
2024,2024-01-01,Motel/Hotel Shelter,650,Room Based Capacity,NA,NA,149,100
2024,2024-01-01,Motel/Hotel Shelter,113,Room Based Capacity,NA,NA,57,100
2024,2024-01-01,Shelter,8,Bed Based Capacity,8,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,203,Room Based Capacity,NA,NA,67,100
2024,2024-01-01,Motel/Hotel Shelter,508,Room Based Capacity,NA,NA,161,100
2024,2024-01-01,Motel/Hotel Shelter,152,Room Based Capacity,NA,NA,142,100
2024,2024-01-01,Motel/Hotel Shelter,39,Room Based Capacity,NA,NA,39,100
2024,2024-01-01,Shelter,42,Bed Based Capacity,42,100,NA,NA
2024,2024-01-01,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Warming Centre,19,Bed Based Capacity,23,82.61,NA,NA
2024,2024-01-01,Shelter,65,Room Based Capacity,NA,NA,29,100
2024,2024-01-01,Shelter,221,Room Based Capacity,NA,NA,64,100
2024,2024-01-01,Motel/Hotel Shelter,22,Room Based Capacity,NA,NA,11,100
2024,2024-01-01,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,81,100
2024,2024-01-01,Motel/Hotel Shelter,28,Room Based Capacity,NA,NA,15,100
2024,2024-01-01,Motel/Hotel Shelter,77,Room Based Capacity,NA,NA,77,100
2024,2024-01-01,Shelter,14,Bed Based Capacity,18,77.78,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,103,Room Based Capacity,NA,NA,103,100
2024,2024-01-01,Shelter,149,Room Based Capacity,NA,NA,44,100
2024,2024-01-01,Motel/Hotel Shelter,143,Room Based Capacity,NA,NA,49,100
2024,2024-01-01,Motel/Hotel Shelter,51,Room Based Capacity,NA,NA,20,100
2024,2024-01-01,Shelter,61,Bed Based Capacity,68,89.71,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,69,Room Based Capacity,NA,NA,69,95.65
2024,2024-01-01,Shelter,46,Bed Based Capacity,48,95.83,NA,NA
2024,2024-01-01,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-01-01,Shelter,80,Room Based Capacity,NA,NA,32,100
2024,2024-01-01,Warming Centre,21,Bed Based Capacity,48,43.75,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,154,Room Based Capacity,NA,NA,136,100
2024,2024-01-01,Isolation/Recovery Site,11,Room Based Capacity,NA,NA,10,90
2024,2024-01-01,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-01-01,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-01-01,Shelter,66,Bed Based Capacity,66,100,NA,NA
2024,2024-01-01,Shelter,118,Bed Based Capacity,118,100,NA,NA
2024,2024-01-01,Shelter,33,Bed Based Capacity,36,91.67,NA,NA
2024,2024-01-01,Shelter,16,Bed Based Capacity,16,100,NA,NA
2024,2024-01-01,Shelter,53,Bed Based Capacity,53,100,NA,NA
2024,2024-01-01,Shelter,106,Bed Based Capacity,106,100,NA,NA
2024,2024-01-01,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,66,Room Based Capacity,NA,NA,64,98.44
2024,2024-01-01,Shelter,87,Bed Based Capacity,87,100,NA,NA
2024,2024-01-01,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-01-01,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-01-01,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Shelter,26,Bed Based Capacity,28,92.86,NA,NA
2024,2024-01-01,24-Hour Respite Site,77,Bed Based Capacity,78,98.72,NA,NA
2024,2024-01-01,24-Hour Respite Site,120,Bed Based Capacity,120,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,85,Room Based Capacity,NA,NA,83,98.8
2024,2024-01-01,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-01-01,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Warming Centre,41,Bed Based Capacity,46,89.13,NA,NA
2024,2024-01-01,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-01-01,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-01-01,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-01-01,Shelter,7,Bed Based Capacity,11,63.64,NA,NA
2024,2024-01-01,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-01-01,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-01,24-Hour Women's Drop-in,51,Bed Based Capacity,52,98.08,NA,NA
2024,2024-01-01,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-01-01,Shelter,70,Bed Based Capacity,70,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,281,Room Based Capacity,NA,NA,265,100
2024,2024-01-01,24-Hour Respite Site,63,Bed Based Capacity,70,90,NA,NA
2024,2024-01-01,24-Hour Respite Site,112,Bed Based Capacity,112,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,54,Bed Based Capacity,60,90,NA,NA
2024,2024-01-01,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-01,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-01-01,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-01,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-01,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-01-01,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-01-01,Shelter,108,Bed Based Capacity,109,99.08,NA,NA
2024,2024-01-01,Shelter,34,Bed Based Capacity,34,100,NA,NA
2024,2024-01-01,Shelter,65,Bed Based Capacity,65,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,72,Bed Based Capacity,72,100,NA,NA
2024,2024-01-01,Shelter,89,Bed Based Capacity,89,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,7,Room Based Capacity,NA,NA,7,100
2024,2024-01-01,Shelter,278,Bed Based Capacity,278,100,NA,NA
2024,2024-01-01,Shelter,132,Bed Based Capacity,132,100,NA,NA
2024,2024-01-01,Alternative Space Protocol,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-01,Alternative Space Protocol,4,Bed Based Capacity,4,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,383,Room Based Capacity,NA,NA,322,100
2024,2024-01-01,24-Hour Respite Site,38,Bed Based Capacity,38,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,313,Room Based Capacity,NA,NA,155,100
2024,2024-01-01,Shelter,19,Bed Based Capacity,19,100,NA,NA
2024,2024-01-01,Shelter,83,Bed Based Capacity,83,100,NA,NA
2024,2024-01-01,Shelter,49,Bed Based Capacity,49,100,NA,NA
2024,2024-01-01,Shelter,45,Bed Based Capacity,45,100,NA,NA
2024,2024-01-01,Shelter,23,Bed Based Capacity,23,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Shelter,54,Bed Based Capacity,54,100,NA,NA
2024,2024-01-01,Shelter,15,Bed Based Capacity,17,88.24,NA,NA
2024,2024-01-01,Shelter,10,Bed Based Capacity,12,83.33,NA,NA
2024,2024-01-01,Shelter,12,Bed Based Capacity,15,80,NA,NA
2024,2024-01-01,24-Hour Women's Drop-in,16,Bed Based Capacity,16,100,NA,NA
2024,2024-01-01,Shelter,20,Bed Based Capacity,20,100,NA,NA
2024,2024-01-01,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-01-01,Shelter,39,Bed Based Capacity,39,100,NA,NA
2024,2024-01-01,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,72,Bed Based Capacity,72,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,30,Room Based Capacity,NA,NA,30,100
2024,2024-01-01,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,33,100
2024,2024-01-01,Shelter,225,Room Based Capacity,NA,NA,77,100
2024,2024-01-01,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-01-01,Shelter,83,Room Based Capacity,NA,NA,27,100
2024,2024-01-01,Shelter,86,Bed Based Capacity,86,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,98,Room Based Capacity,NA,NA,55,100
2024,2024-01-01,Shelter,78,Bed Based Capacity,78,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,131,Room Based Capacity,NA,NA,131,100
2024,2024-01-01,Shelter,264,Bed Based Capacity,264,100,NA,NA
2024,2024-01-01,Motel/Hotel Shelter,93,Room Based Capacity,NA,NA,52,100
2024,2024-01-01,Shelter,52,Bed Based Capacity,52,100,NA,NA
2024,2024-01-01,Shelter,46,Bed Based Capacity,46,100,NA,NA
2024,2024-01-01,Shelter,37,Bed Based Capacity,37,100,NA,NA
2024,2024-01-01,Shelter,71,Bed Based Capacity,71,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-01-01,Shelter,12,Room Based Capacity,NA,NA,4,100
2024,2024-01-01,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-01,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-01,24-Hour Respite Site,32,Bed Based Capacity,32,100,NA,NA
2024,2024-01-01,Shelter,12,Bed Based Capacity,12,100,NA,NA
2024,2024-01-01,Shelter,86,Room Based Capacity,NA,NA,27,100
2024,2024-01-01,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-01-01,Shelter,25,Bed Based Capacity,25,100,NA,NA
2024,2024-01-01,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-01,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-01-01,Shelter,27,Bed Based Capacity,28,96.43,NA,NA
2024,2024-01-01,Shelter,27,Bed Based Capacity,27,100,NA,NA
2024,2024-01-01,Shelter,33,Bed Based Capacity,33,100,NA,NA
2024,2024-01-01,Shelter,19,Bed Based Capacity,20,95,NA,NA
2024,2024-01-01,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-01-01,Shelter,40,Bed Based Capacity,41,97.56,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,650,Room Based Capacity,NA,NA,149,100
2024,2024-01-02,Motel/Hotel Shelter,112,Room Based Capacity,NA,NA,57,100
2024,2024-01-02,Shelter,8,Bed Based Capacity,8,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,203,Room Based Capacity,NA,NA,67,100
2024,2024-01-02,Motel/Hotel Shelter,504,Room Based Capacity,NA,NA,161,99.38
2024,2024-01-02,Motel/Hotel Shelter,153,Room Based Capacity,NA,NA,142,100
2024,2024-01-02,Motel/Hotel Shelter,39,Room Based Capacity,NA,NA,39,100
2024,2024-01-02,Shelter,42,Bed Based Capacity,42,100,NA,NA
2024,2024-01-02,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Warming Centre,22,Bed Based Capacity,22,100,NA,NA
2024,2024-01-02,Shelter,67,Room Based Capacity,NA,NA,29,100
2024,2024-01-02,Shelter,218,Room Based Capacity,NA,NA,64,98.44
2024,2024-01-02,Motel/Hotel Shelter,24,Room Based Capacity,NA,NA,12,100
2024,2024-01-02,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,81,100
2024,2024-01-02,Motel/Hotel Shelter,28,Room Based Capacity,NA,NA,15,100
2024,2024-01-02,Motel/Hotel Shelter,76,Room Based Capacity,NA,NA,76,100
2024,2024-01-02,Shelter,15,Bed Based Capacity,18,83.33,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,103,Room Based Capacity,NA,NA,103,100
2024,2024-01-02,Shelter,149,Room Based Capacity,NA,NA,44,100
2024,2024-01-02,Motel/Hotel Shelter,143,Room Based Capacity,NA,NA,49,100
2024,2024-01-02,Motel/Hotel Shelter,51,Room Based Capacity,NA,NA,20,100
2024,2024-01-02,Shelter,61,Bed Based Capacity,68,89.71,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,69,Room Based Capacity,NA,NA,69,95.65
2024,2024-01-02,Shelter,45,Bed Based Capacity,48,93.75,NA,NA
2024,2024-01-02,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-01-02,Shelter,82,Room Based Capacity,NA,NA,33,100
2024,2024-01-02,Warming Centre,44,Bed Based Capacity,48,91.67,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,154,Room Based Capacity,NA,NA,136,100
2024,2024-01-02,Isolation/Recovery Site,12,Room Based Capacity,NA,NA,11,100
2024,2024-01-02,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-01-02,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-01-02,Shelter,67,Bed Based Capacity,67,100,NA,NA
2024,2024-01-02,Shelter,119,Bed Based Capacity,119,100,NA,NA
2024,2024-01-02,Shelter,31,Bed Based Capacity,36,86.11,NA,NA
2024,2024-01-02,Shelter,16,Bed Based Capacity,16,100,NA,NA
2024,2024-01-02,Shelter,52,Bed Based Capacity,53,98.11,NA,NA
2024,2024-01-02,Shelter,106,Bed Based Capacity,106,100,NA,NA
2024,2024-01-02,Shelter,32,Bed Based Capacity,35,91.43,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,66,Room Based Capacity,NA,NA,65,96.92
2024,2024-01-02,Shelter,87,Bed Based Capacity,87,100,NA,NA
2024,2024-01-02,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-01-02,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-01-02,Shelter,93,Bed Based Capacity,94,98.94,NA,NA
2024,2024-01-02,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Shelter,26,Bed Based Capacity,28,92.86,NA,NA
2024,2024-01-02,24-Hour Respite Site,78,Bed Based Capacity,78,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,119,Bed Based Capacity,119,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,84,Room Based Capacity,NA,NA,83,97.59
2024,2024-01-02,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-01-02,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Warming Centre,44,Bed Based Capacity,46,95.65,NA,NA
2024,2024-01-02,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-01-02,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-01-02,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-01-02,Shelter,7,Bed Based Capacity,11,63.64,NA,NA
2024,2024-01-02,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-01-02,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-02,24-Hour Women's Drop-in,50,Bed Based Capacity,52,96.15,NA,NA
2024,2024-01-02,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-01-02,Shelter,70,Bed Based Capacity,70,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,279,Room Based Capacity,NA,NA,264,100
2024,2024-01-02,24-Hour Respite Site,63,Bed Based Capacity,70,90,NA,NA
2024,2024-01-02,24-Hour Respite Site,113,Bed Based Capacity,119,94.96,NA,NA
2024,2024-01-02,24-Hour Respite Site,54,Bed Based Capacity,60,90,NA,NA
2024,2024-01-02,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-02,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-01-02,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-02,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-02,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-01-02,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-01-02,Shelter,109,Bed Based Capacity,111,98.2,NA,NA
2024,2024-01-02,Shelter,34,Bed Based Capacity,34,100,NA,NA
2024,2024-01-02,Shelter,66,Bed Based Capacity,66,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,73,Bed Based Capacity,73,100,NA,NA
2024,2024-01-02,Shelter,89,Bed Based Capacity,89,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,7,Room Based Capacity,NA,NA,7,100
2024,2024-01-02,Shelter,278,Bed Based Capacity,278,100,NA,NA
2024,2024-01-02,Shelter,132,Bed Based Capacity,132,100,NA,NA
2024,2024-01-02,Alternative Space Protocol,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-02,Alternative Space Protocol,4,Bed Based Capacity,4,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,383,Room Based Capacity,NA,NA,322,100
2024,2024-01-02,24-Hour Respite Site,31,Bed Based Capacity,31,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,322,Room Based Capacity,NA,NA,161,100
2024,2024-01-02,Shelter,19,Bed Based Capacity,19,100,NA,NA
2024,2024-01-02,Shelter,82,Bed Based Capacity,82,100,NA,NA
2024,2024-01-02,Shelter,49,Bed Based Capacity,49,100,NA,NA
2024,2024-01-02,Shelter,45,Bed Based Capacity,45,100,NA,NA
2024,2024-01-02,Shelter,23,Bed Based Capacity,23,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Shelter,54,Bed Based Capacity,54,100,NA,NA
2024,2024-01-02,Shelter,15,Bed Based Capacity,17,88.24,NA,NA
2024,2024-01-02,Shelter,10,Bed Based Capacity,12,83.33,NA,NA
2024,2024-01-02,Shelter,12,Bed Based Capacity,15,80,NA,NA
2024,2024-01-02,24-Hour Women's Drop-in,16,Bed Based Capacity,16,100,NA,NA
2024,2024-01-02,Shelter,20,Bed Based Capacity,20,100,NA,NA
2024,2024-01-02,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-01-02,Shelter,39,Bed Based Capacity,39,100,NA,NA
2024,2024-01-02,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,72,Bed Based Capacity,72,100,NA,NA
