<<<<<<< HEAD
id,OCCUPANCY_DATE,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,OCCUPANCY_RATE_BEDS,CAPACITY_ACTUAL_ROOM,OCCUPANCY_RATE_ROOMS
1,2023-02-05,Shelter,359,Room Based Capacity,0,0,169,0
2,2022-10-22,Motel/Hotel Shelter,359,Bed Based Capacity,145,90,0,49
3,2023-11-16,Shelter,333,Room Based Capacity,0,0,182,0
4,2022-12-25,24-Hour Women's Drop-in,322,Room Based Capacity,0,0,156,0
5,2021-04-28,Shelter,348,Bed Based Capacity,156,97,0,49
6,2022-07-18,24-Hour Respite Site,346,Room Based Capacity,0,0,159,0
7,2024-07-31,Isolation/Recovery Site,328,Bed Based Capacity,153,4,0,77
8,2022-03-19,24-Hour Respite Site,315,Room Based Capacity,0,0,189,0
9,2024-04-09,24-Hour Respite Site,337,Room Based Capacity,0,0,196,0
10,2022-07-14,Isolation/Recovery Site,343,Bed Based Capacity,154,16,0,41
11,2024-03-31,Isolation/Recovery Site,343,Bed Based Capacity,183,37,0,90
12,2023-06-12,Warming Centre,304,Bed Based Capacity,156,17,0,13
13,2023-12-28,Motel/Hotel Shelter,294,Room Based Capacity,0,0,156,0
14,2022-08-08,24-Hour Women's Drop-in,324,Bed Based Capacity,148,94,0,24
15,2023-03-15,24-Hour Women's Drop-in,357,Room Based Capacity,0,0,182,0
16,2024-04-30,Alternative Space Protocol,340,Room Based Capacity,0,0,163,0
17,2023-08-07,Shelter,341,Room Based Capacity,0,0,166,0
18,2022-05-03,Shelter,325,Room Based Capacity,0,0,188,0
19,2024-07-24,Alternative Space Protocol,306,Room Based Capacity,0,0,173,0
20,2024-02-08,Alternative Space Protocol,322,Room Based Capacity,0,0,175,0
21,2024-05-24,24-Hour Women's Drop-in,322,Room Based Capacity,0,0,162,0
22,2023-04-02,Isolation/Recovery Site,318,Bed Based Capacity,138,90,0,51
23,2023-01-01,24-Hour Women's Drop-in,346,Bed Based Capacity,143,93,0,32
24,2023-04-10,Top Bunk Contingency Space,328,Bed Based Capacity,162,23,0,55
25,2021-12-22,24-Hour Respite Site,321,Bed Based Capacity,149,73,0,18
26,2022-04-27,Warming Centre,366,Bed Based Capacity,153,87,0,67
27,2021-05-17,Warming Centre,322,Room Based Capacity,0,0,145,0
28,2022-06-21,Isolation/Recovery Site,329,Room Based Capacity,0,0,160,0
